GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
HIV_0000000006,2017,EMR,,16000,12000,23000
HIV_0000000006,2017,AFR,DZA,,,
HIV_0000000006,2017,EUR,AZE,,,
HIV_0000000006,2017,SEAR,BTN,,,
HIV_0000000006,2017,AFR,BDI,1700,1200,2300
HIV_0000000006,2017,AMR,COL,4400,3100,6100
HIV_0000000006,2017,EUR,CYP,,,
HIV_0000000006,2017,AMR,ECU,960,,2400
HIV_0000000006,2017,EUR,FIN,,,
HIV_0000000006,2017,AMR,GRD,,,
HIV_0000000006,2017,EUR,ISL,,,
HIV_0000000006,2017,WPR,JPN,,,
HIV_0000000006,2017,EUR,LVA,,,
HIV_0000000006,2017,AFR,MWI,17000,13000,23000
HIV_0000000006,2017,WPR,FSM,,,
HIV_0000000006,2017,WPR,NRU,,,
HIV_0000000006,2017,EUR,NOR,,,
HIV_0000000006,2017,EUR,POL,,,
HIV_0000000006,2017,AMR,KNA,,,
HIV_0000000006,2017,EUR,SRB,,,
HIV_0000000006,2017,AFR,SYC,,,
HIV_0000000006,2017,AFR,SSD,12000,8400,16000
HIV_0000000006,2017,EUR,TJK,580,,800
HIV_0000000006,2017,EUR,TKM,,,
HIV_0000000006,2017,AMR,URY,,,
HIV_0000000006,2017,SEAR,,130000,83000,210000
HIV_0000000006,2017,EUR,ALB,,,
HIV_0000000006,2017,EUR,AUT,,,
HIV_0000000006,2017,AFR,BEN,2500,1300,4500
HIV_0000000006,2017,AFR,BFA,2900,1900,4100
HIV_0000000006,2017,AMR,CHL,,,
HIV_0000000006,2017,WPR,CHN,,,
HIV_0000000006,2017,AMR,CUB,,,
HIV_0000000006,2017,AMR,DOM,2600,1700,3800
HIV_0000000006,2017,WPR,FJI,,,
HIV_0000000006,2017,EUR,GRC,,,
HIV_0000000006,2017,EUR,HUN,,,
HIV_0000000006,2017,AMR,JAM,1500,1100,1900
HIV_0000000006,2017,WPR,LAO,,,
HIV_0000000006,2017,AFR,MDG,1600,1200,2100
