GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
MENING_1,2014,AFR,BEN,88,,
MENING_1,2014,AFR,BFA,353,,
MENING_1,2014,AFR,CIV,25,,
MENING_1,2014,AFR,TGO,14,,
MENING_1,2014,AFR,GIN,55,,
MENING_1,2014,AFR,SEN,12,,
MENING_1,2014,AFR,COD,994,,
MENING_1,2014,AFR,GHA,17,,
MENING_1,2014,AFR,SDN,5,,
MENING_1,2014,AFR,SSD,2,,
MENING_1,2014,AFR,MRT,0,,
MENING_1,2014,AFR,NER,40,,
MENING_1,2014,AFR,CAF,41,,
MENING_1,2014,AFR,CMR,60,,
MENING_1,2014,AFR,TCD,22,,
MENING_1,2014,AFR,ETH,52,,
MENING_1,2014,AFR,NGA,81,,
MENING_1,2014,AFR,GMB,38,,
MENING_1,2014,AFR,MLI,4,,
