GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
TB_e_mort_exc_tbhiv_num,2016,WPR,TON,1,0,1
TB_e_mort_exc_tbhiv_num,2016,EUR,ALB,8,4,15
TB_e_mort_exc_tbhiv_num,2016,EUR,NOR,13,13,13
TB_e_mort_exc_tbhiv_num,2016,EMR,JOR,15,14,15
TB_e_mort_exc_tbhiv_num,2016,AFR,MUS,21,21,21
TB_e_mort_exc_tbhiv_num,2016,EMR,SYR,23,22,23
TB_e_mort_exc_tbhiv_num,2016,EUR,FIN,31,30,31
TB_e_mort_exc_tbhiv_num,2016,EUR,BEL,42,41,43
TB_e_mort_exc_tbhiv_num,2016,AMR,URY,53,49,58
TB_e_mort_exc_tbhiv_num,2016,EUR,AUT,71,71,72
TB_e_mort_exc_tbhiv_num,2016,AMR,ARG,600,580,630
TB_e_mort_exc_tbhiv_num,2016,AFR,NAM,750,480,1100
TB_e_mort_exc_tbhiv_num,2016,EMR,IRQ,1200,840,1700
TB_e_mort_exc_tbhiv_num,2016,AFR,SSD,3000,1800,4500
TB_e_mort_exc_tbhiv_num,2016,AFR,COG,3100,1700,4800
TB_e_mort_exc_tbhiv_num,2016,AMR,BRA,5400,4900,5900
TB_e_mort_exc_tbhiv_num,2016,EUR,,26000,25000,27000
TB_e_mort_exc_tbhiv_num,2016,AFR,KEN,29000,16000,45000
TB_e_mort_exc_tbhiv_num,2016,EUR,MCO,0,0,0
TB_e_mort_exc_tbhiv_num,2016,WPR,WSM,1,1,2
TB_e_mort_exc_tbhiv_num,2016,AMR,VCT,2,2,2
TB_e_mort_exc_tbhiv_num,2016,EUR,CYP,5,5,5
TB_e_mort_exc_tbhiv_num,2016,WPR,NZL,10,10,11
TB_e_mort_exc_tbhiv_num,2016,AFR,CPV,20,19,21
TB_e_mort_exc_tbhiv_num,2016,WPR,MHL,25,16,35
TB_e_mort_exc_tbhiv_num,2016,WPR,VUT,26,17,36
TB_e_mort_exc_tbhiv_num,2016,EUR,HRV,27,26,27
TB_e_mort_exc_tbhiv_num,2016,EUR,CZE,57,56,57
TB_e_mort_exc_tbhiv_num,2016,EUR,ARM,62,37,94
TB_e_mort_exc_tbhiv_num,2016,EUR,BGR,120,120,130
TB_e_mort_exc_tbhiv_num,2016,SEAR,BTN,160,100,220
TB_e_mort_exc_tbhiv_num,2016,AMR,PRY,270,230,310
TB_e_mort_exc_tbhiv_num,2016,EUR,GBR,350,350,360
TB_e_mort_exc_tbhiv_num,2016,AMR,USA,530,520,530
TB_e_mort_exc_tbhiv_num,2016,EMR,LBY,610,350,950
TB_e_mort_exc_tbhiv_num,2016,WPR,MNG,610,390,870
TB_e_mort_exc_tbhiv_num,2016,AMR,HTI,910,520,1400
TB_e_mort_exc_tbhiv_num,2016,SEAR,LKA,1200,890,1700
