GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
TB_e_prev_num,2014,EUR,SRB,2700,1200,4900
TB_e_prev_num,2014,EMR,,1000000,880000,1200000
TB_e_prev_num,2014,AFR,SLE,28000,14000,46000
TB_e_prev_num,2014,EUR,SMR,0.65,0.27,1.2
TB_e_prev_num,2014,AFR,STP,210,98,360
TB_e_prev_num,2014,EUR,SVK,470,190,850
TB_e_prev_num,2014,EUR,SWE,910,390,1700
TB_e_prev_num,2014,AFR,SYC,31,13,57
TB_e_prev_num,2014,AFR,TCD,28000,16000,45000
TB_e_prev_num,2014,SEAR,THA,160000,110000,220000
TB_e_prev_num,2014,EUR,TKM,4700,2200,8200
TB_e_prev_num,2014,EUR,,440000,330000,560000
TB_e_prev_num,2014,EUR,ALB,750,350,1300
TB_e_prev_num,2014,AMR,ARG,13000,5400,23000
TB_e_prev_num,2014,EUR,ARM,1700,710,3000
TB_e_prev_num,2014,WPR,MNG,6600,3000,12000
TB_e_prev_num,2014,AFR,MOZ,150000,80000,240000
TB_e_prev_num,2014,AFR,MWI,56000,26000,97000
TB_e_prev_num,2014,WPR,MYS,40000,19000,69000
TB_e_prev_num,2014,AFR,NGA,590000,450000,740000
TB_e_prev_num,2014,AMR,NIC,4500,2000,7900
TB_e_prev_num,2014,EUR,NOR,520,220,950
TB_e_prev_num,2014,SEAR,NPL,60000,29000,100000
TB_e_prev_num,2014,EMR,OMN,520,220,940
TB_e_prev_num,2014,EMR,PAK,630000,530000,740000
TB_e_prev_num,2014,WPR,PHL,410000,360000,470000
TB_e_prev_num,2014,WPR,PLW,9.6,2.9,20
TB_e_prev_num,2014,SEAR,PRK,140000,38000,300000
TB_e_prev_num,2014,EUR,PRT,3000,1300,5400
TB_e_prev_num,2014,EUR,ROU,20000,8000,36000
TB_e_prev_num,2014,EUR,RUS,160000,70000,270000
TB_e_prev_num,2014,EMR,SDN,59000,26000,100000
TB_e_prev_num,2014,AFR,SEN,30000,16000,49000
TB_e_prev_num,2014,SEAR,TLS,9500,4900,16000
TB_e_prev_num,2014,EMR,TUN,4600,1900,8600
TB_e_prev_num,2014,EUR,TUR,17000,8000,30000
TB_e_prev_num,2014,AFR,UGA,60000,33000,95000
TB_e_prev_num,2014,EUR,UKR,52000,26000,86000
TB_e_prev_num,2014,EUR,UZB,36000,18000,60000
TB_e_prev_num,2014,,,360000,250000,470000
TB_e_prev_num,2014,GLOBAL,,13000000,11000000,14000000
TB_e_prev_num,2014,EMR,AFG,110000,56000,180000
TB_e_prev_num,2014,AFR,AGO,120000,61000,200000
TB_e_prev_num,2014,EUR,AND,8.6,3.6,16
TB_e_prev_num,2014,EMR,ARE,250,120,410
TB_e_prev_num,2014,EUR,MNE,180,84,310
TB_e_prev_num,2014,AFR,MRT,7200,3600,12000
TB_e_prev_num,2014,AFR,MUS,440,230,710
TB_e_prev_num,2014,AFR,NAM,15000,8500,23000
TB_e_prev_num,2014,AFR,NER,30000,16000,48000
TB_e_prev_num,2014,WPR,NIU,0.23,0.07,0.48
TB_e_prev_num,2014,EUR,NLD,1200,520,2200
TB_e_prev_num,2014,WPR,NRU,9.6,4,18
TB_e_prev_num,2014,WPR,NZL,420,180,770
TB_e_prev_num,2014,AMR,PAN,2300,1100,3900
TB_e_prev_num,2014,AMR,PER,49000,23000,84000
TB_e_prev_num,2014,WPR,PNG,39000,19000,68000
TB_e_prev_num,2014,EUR,POL,10000,4300,18000
TB_e_prev_num,2014,AMR,PRY,3600,1700,6200
TB_e_prev_num,2014,EMR,QAT,810,340,1500
TB_e_prev_num,2014,AFR,RWA,9600,7000,13000
TB_e_prev_num,2014,EMR,SAU,4800,2100,8800
TB_e_prev_num,2014,WPR,SGP,3400,1400,6200
TB_e_prev_num,2014,WPR,SLB,760,390,1300
TB_e_prev_num,2014,WPR,TON,22,11,37
TB_e_prev_num,2014,AMR,TTO,320,150,550
TB_e_prev_num,2014,WPR,TUV,24,9.5,44
TB_e_prev_num,2014,AFR,TZA,270000,110000,510000
TB_e_prev_num,2014,AMR,URY,1200,530,2100
TB_e_prev_num,2014,AMR,USA,12000,5300,22000
TB_e_prev_num,2014,,,7800000,6700000,8800000
TB_e_prev_num,2014,,,2400000,2100000,2700000
TB_e_prev_num,2014,WPR,,2100000,1900000,2400000
TB_e_prev_num,2014,EUR,AZE,9800,4400,17000
TB_e_prev_num,2014,AFR,BFA,14000,7600,23000
TB_e_prev_num,2014,AMR,BHS,46,22,80
TB_e_prev_num,2014,AMR,BOL,20000,10000,32000
TB_e_prev_num,2014,SEAR,BTN,1500,570,2700
TB_e_prev_num,2014,EUR,CHE,630,270,1100
TB_e_prev_num,2014,AFR,CMR,61000,33000,96000
TB_e_prev_num,2014,AMR,COL,19000,9400,31000
TB_e_prev_num,2014,AMR,CUB,1500,750,2400
TB_e_prev_num,2014,EMR,DJI,8700,4600,14000
TB_e_prev_num,2014,AFR,DZA,46000,23000,76000
TB_e_prev_num,2014,EUR,ESP,6800,2900,12000
TB_e_prev_num,2014,WPR,FJI,970,510,1600
TB_e_prev_num,2014,EUR,GBR,9600,3900,18000
TB_e_prev_num,2014,AFR,GMB,2400,1800,3100
TB_e_prev_num,2014,AMR,SLV,3000,1300,5500
TB_e_prev_num,2014,AFR,SSD,38000,17000,68000
TB_e_prev_num,2014,EUR,SVN,200,85,370
TB_e_prev_num,2014,EMR,SYR,3600,1200,7300
TB_e_prev_num,2014,EUR,TJK,11000,5200,18000
TB_e_prev_num,2014,AMR,VCT,36,19,58
TB_e_prev_num,2014,WPR,WSM,60,31,98
TB_e_prev_num,2014,AFR,ZWE,44000,24000,71000
TB_e_prev_num,2014,AMR,,350000,270000,440000
TB_e_prev_num,2014,SEAR,,5400000,4400000,6500000
TB_e_prev_num,2014,WPR,AUS,1900,810,3500
TB_e_prev_num,2014,EUR,BEL,1200,530,2200
TB_e_prev_num,2014,EUR,BGR,2300,910,4500
TB_e_prev_num,2014,EUR,BLR,7700,3800,13000
TB_e_prev_num,2014,AMR,BRB,1.2,0.27,2.7
TB_e_prev_num,2014,AFR,CAF,21000,12000,33000
TB_e_prev_num,2014,WPR,CHN,1200000,1100000,1400000
TB_e_prev_num,2014,AFR,COG,21000,11000,33000
TB_e_prev_num,2014,AFR,CPV,1200,640,2000
TB_e_prev_num,2014,EUR,CZE,620,260,1100
TB_e_prev_num,2014,EUR,DNK,500,210,910
TB_e_prev_num,2014,EMR,EGY,23000,12000,37000
TB_e_prev_num,2014,AFR,ETH,190000,160000,240000
TB_e_prev_num,2014,WPR,FSM,260,110,480
TB_e_prev_num,2014,AFR,GHA,75000,30000,140000
TB_e_prev_num,2014,EMR,SOM,52000,27000,85000
TB_e_prev_num,2014,AMR,SUR,240,130,380
TB_e_prev_num,2014,AFR,SWZ,7700,4300,12000
TB_e_prev_num,2014,AFR,TGO,5800,3100,9300
TB_e_prev_num,2014,WPR,VNM,180000,76000,330000
TB_e_prev_num,2014,AFR,ZAF,380000,210000,590000
TB_e_prev_num,2014,AFR,,3200000,2800000,3600000
TB_e_prev_num,2014,AMR,ATG,6.9,3.3,12
TB_e_prev_num,2014,EUR,AUT,830,350,1500
TB_e_prev_num,2014,AFR,BDI,21000,11000,34000
TB_e_prev_num,2014,AFR,BEN,9500,5000,15000
TB_e_prev_num,2014,SEAR,BGD,640000,340000,1000000
TB_e_prev_num,2014,EMR,BHR,240,100,440
TB_e_prev_num,2014,EUR,BIH,2400,1200,4100
